jday,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
244,,,,,,,,,,,,,,,1,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,
246,,1,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,1,,,,,,,,
248,,1,,,1,,,1,,,1,,2,,,,,,,,,
249,,,,,,2,,,,,,,,,,,,,,,,
250,,,,,,,,1,,,,,1,,,,,,,,,
251,,,,,,1,,,,,,,,1,,,,1,,,,
252,,,,,1,,,1,,,,,,,,1,,,,,,
253,,,,3,,1,1,,,,,,,1,,,,,,,,
254,1,1,,,,,,1,1,,,,,,,,,,,,,
255,2,,,1,,,1,,,,,,,,,,,,,,,1
256,1,1,,,,,,,,,,,,,,1,,,,,,
257,1,,,1,,,2,,,,,,,,,,,1,,,,
258,,,,,,,,,1,,,,,,1,1,,,,,,
259,,2,,2,,,8,,,,,,,,,,,,,,,1
260,,1,,,,,,,,,2,,,,,,1,,,,1,
261,,,,,,3,1,,,,,,,2,,,,,,,,
262,,,,,1,,,,,,1,1,,,,,1,,1,,,
263,1,,,1,,,1,,,,,,,,,,,,,,,
264,,,,,1,,,1,1,,4,,,,,,,,3,1,,
265,2,,,3,,,2,,,,,,,,,,,,,,,
266,,,1,,1,,,,,,,,1,,1,,,,4,1,,
267,1,,,,,,,,,,,,,1,,,,1,,,,
268,3,1,,,1,,,3,3,,4,1,,,,,,,1,,,
269,,1,,2,,12,,,,,,,,,,,,,,,,2
270,1,2,,,1,,,1,2,,1,,,,,,,,5,1,,
271,,,,1,,7,2,,,,,,,,,,,,,,,
272,,2,1,,,,,3,1,,2,1,,,1,1,,,,,,
273,,3,,2,,1,,,,1,,,,,,,,,,,,
274,,5,,,1,,,4,1,,2,,,,,,1,,2,2,1,
275,,8,,1,,1,2,,,,,,,,,,,,,,,
276,1,3,,,1,,,,,,,,3,,,1,1,,,1,,
277,,6,,,,3,2,,,1,,,,,,,,2,,,,
278,2,1,,,2,,,1,1,,11,2,4,,,,1,,,,,
279,,8,,,,8,1,,,,,,,,,,,1,,,,
280,1,2,,,,,,,,,,1,,,1,1,1,,,1,2,
281,,2,,,,9,,,,,,,,,,,,,,,,1
282,,4,,1,,,,,,,1,,1,,2,1,,,,,,
283,,1,,,,2,2,,,1,,,,,,,,1,,,,1
284,6,3,,4,1,,,,,,1,,2,,1,2,,,1,,,
285,6,2,,,,2,3,,,,,,,,,,,,,,,1
286,3,1,1,5,,,,1,1,,1,1,1,,1,,2,,,1,1,
287,,1,,,,2,2,,,,,,,,,,,1,,,,
288,1,2,,,2,,,,,,2,,1,,1,,,,3,1,,
289,1,2,,,,2,1,,,,,,,,,,,,,,,
290,,3,,1,1,,,2,,,,,2,,1,,,,2,4,,
291,2,2,,,2,1,,,,,,,,1,,,,1,,,,
292,1,2,,2,1,,,2,1,,1,,2,,,,2,,2,,2,
293,1,5,,,,8,2,,,,,,,,,,1,1,,,,
294,4,,,,1,2,3,,,,,,1,,4,,1,,1,1,1,
295,,10,,,,1,2,,,1,1,,,,,,1,2,2,,1,1
296,3,9,1,2,1,1,,,,2,1,,1,,,,,2,,,,
297,1,2,,,1,,,,,1,1,,,,,,,1,,,,
298,,2,2,,,,1,,,4,1,,,,,1,2,3,,1,,
299,,1,,,,,,,,3,,,,,,,,,,,,
300,,,2,,,,1,,,1,,,1,,,,,,,,,
301,1,3,,,,,1,2,,,,,,,,,2,,,,,
302,1,2,,2,1,,,,,2,1,,,,,,1,3,,,,
303,,2,,,,,3,,,2,,,,,,,2,,,,1,
304,,4,3,,1,,1,1,,,,,,,,,1,,,,,
305,1,3,,,,,,,,,,,,,,,,,,,,
306,5,7,3,1,2,,,,,,,,,,,,,2,,,,
307,5,5,,1,,,,,,,,,,,,1,,3,,,1,2
308,1,3,,1,,,,,,2,,3,1,,,,,,,,,
309,,1,,,1,,,,1,,,,,,,,1,,,,,
310,,4,,3,,1,,1,1,,,,,,,,,,,,,1
311,,,,,,,,1,,,,,,,,,,,,,,
312,,,,1,,,,1,1,,,,,,,,,,,,1,
313,,4,,,,,,,,1,1,,,,1,,1,,,,,
314,1,1,1,1,1,,,1,,,,,,,,,,,,,,
315,1,,,,,,1,,,,,,,,,,,1,,,,
316,,,1,,,,,,1,,,2,,,,,,,,,,
317,,2,,,,,,,,,,1,,,,,,,,1,,
318,1,3,,,,,,,,,,1,,,,,,,,,,
319,,2,,1,,,,2,2,,,1,,,1,,,,,,,
320,,1,,1,,,,,,,,,,,,,,2,,,,
321,,,,,,,,,1,,,,,,,,,,,,,
322,,,1,,,,,,1,,,1,,,,,,,,,,
323,,2,,,,,,,,,,,,,,1,,,,,1,
324,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,1,,,,1,1,,1,
326,,1,,,,,,,,,,1,,,,,,1,,,,
327,1,,,,,,,,,,,,,,1,,,,,,,
328,,,,1,,,,1,,,,,,,,,,,,,,
329,,1,,,,,,,,,,,,,,,,,,,,
330,,,,1,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,
332,,2,,,,,,,,1,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,3,,,,,
334,,2,,,,1,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,
338,,1,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,
